San Luis Valley Regional Medical Center,Alamosa,Alamosa
Stauth Memorial Museum,Montezuma,Southwest
Sternberg Museum of Natural History,Hays,Northwest
Stevens County Gas & Historical Museum,Hugoton,Southwest
St. Marys Historical Society Pay Station & Museum Complex,St. Marys,
Strang Carriage House,Overland Park,Kansas City Metro
Strataca,Hutchinson,South Central
Strawberry Hill Museum and Cultural Center,Kansas City,Northwest
Swan River Museum,Paola,East-Central
Topeka Computing Museum,Topeka,Topeka metro
Tonganoxie Community Historical Society and Museum,Tonganoxie,
Towanda Area Historical Museum,Towanda,
Trading Post Museum,Trading Post,East-Central
Trego County Museum,WaKeeney,Northwest
Ulrich Museum of Art,Wichita,South Central
University of Kansas Natural History Museum,Lawrence,Northeast
Valley Center Historical Museum,Valley Center,
Valley Falls Historical Society Museum,Valley Falls,Topeka metro
Wabaunsee County Historical Museum,Alma,Topeka metro
Wakefield Museum (Kansas),Wakefield,
Waller-Coolbaugh 20th Century House,Stockton,
Walter P. Chrysler Boyhood Home & Museum,Ellis,Northwest
Wamego City Park and Museum Complex,Wamego,Northeast
Warkentin House,Newton,
Washington County Museum (Kansas),Washington,
Watkins Community Museum of History,Lawrence,Northeast
Wichita Art Museum,Wichita,South Central
Wichita-Sedgwick County Historical Museum,Wichita,South Central
Wilcox Classical Museum,Lawrence,Northeast
William Allen White House State Historic Site,Emporia,East-Central
William F. Schaeffler House,Hillsboro,Southeast
William J. Marra Museum of Deaf History & Deaf Culture,Olathe,Northeast
Wilson County Historical Museum,Fredonia,Southeast
Wilson Czech Opera House & Museum,Wilson,
Wonderscope,Shawnee,Northeast
Woodson County Historical Museum,Yates Center,
World War II History Center,El Dorado,South Central
Wyandotte County Historical Museum,Bonner Springs,Northeast
Yesterday House Museum,Sylvan Grove,
Yesteryear Museum,Salina,North Central
Yost Art Gallery,Highland,Northeast
Alice M. Kidd Nursing Facility,Tuscaloosa,Tuscaloosa
Andalusia Regional Hospital,Covington,Andalusia
Athens-Limestone Hospital,Limestone,Athens
Atmore Community Hospital,Escambia,Atmore
Baptist Medical Center East,Montgomery,Montgomery
Baptist Medical Center South,Montgomery,Montgomery
Baypointe Hospital,Mobile,Mobile
Beacon Children's Hospital,Crenshaw,Luverne
Children's of Alabama Russell Campus,Jefferson,Birmingham
Bibb Medical Center,Bibb,Centreville
Brookwood Medical Center,Jefferson,Homewood
Bryan Whitfield Memorial Hospital,Marengo,Demopolis
Bryce Hospital,Tuscaloosa,Tuscaloosa
Bullock County Hospital,Bullock,Union Springs
Carraway Methodist Medical Center,Jefferson,Birmingham
Central Alabama Veterans Health Care System East Campus,Macon,Tuskegee
Central Alabama Veterans Health Care System West Campus,Montgomery,Montgomery
Cherokee Medical Center,Cherokee,Centre
Chilton Medical Center,Chilton,Clanton
Choctaw General Hospital,Choctaw,Butler
Citizens Baptist,Talladega,Talladega
Clay County Hospital,Clay,Ashland
Community Hospital,Elmore,Tallassee
Cooper Green Mercy Hospital,Jefferson,Birmingham
Coosa Valley Medical Center,Talladega,Sylacauga
Crenshaw Community Hospital,Crenshaw,Luverne
Crestwood Medical Center,Madison,Huntsville
Cullman Regional Medical Center,Cullman,Cullman
Dale Medical Center,Dale,Ozark
DCH Regional Medical Center,Tuscaloosa,Tuscaloosa
Decatur General Hospital System,Morgan,Decatur
Decatur General West Behavioral Medicine Center,Morgan,Decatur
DeKalb Regional Medical Center,DeKalb,Fort Payne
D.W. McMillan Memorial Hospital,Escambia,Brewton
East Alabama Medical Center,Lee,Opelika
Elba General Hospital,Coffee,Elba
Eliza Coffee Memorial Hospital,Lauderdale,Florence
Elmore Community Hospital,Elmore,Wetumpka
Evergreen Medical Center,Conecuh,Evergreen
Fayette Medical Center,Fayette,Fayette
Florala Memorial Hospital,Covington,Florala
Flowers Hospital,Houston,Dothan
Gadsden Regional Medical Center,Etowah,Gadsden
Georgiana Hospital,Butler,Georgiana
Greene County Hospital,Greene,Eutaw
Greil Memorial Psychiatric Hospital,Montgomery,Montgomery
Grove Hill Memorial Hospital,Clarke,Grove Hill
Hale County Hospital,Hale,Greensboro
Hartselle Medical Center,Morgan,Hartselle
HealthSouth Lakeshore Rehabilitation Hospital,Jefferson,Birmingham
HealthSouth Rehabilitation Hospital of Dothan,Houston,Dothan
HealthSouth Rehabilitation Hospital of Gadsden,Etowah,Gadsden
HealthSouth Rehabilitation Hospital of Montgomery,Montgomery,Montgomery
HealthSouth Rehabilitation Hospital of North Alabama,Madison,Huntsville
Helen Keller Hospital,Colbert,Sheffield
Highlands Medical Center,Jackson,Scottsboro
Hill Crest Behavioral Health Services,Jefferson,Birmingham
Hill Hospital of Sumter County,Sumter,York
Huntsville Hospital System,Madison,Huntsville
Infirmary LTAC Hospital,Mobile,Mobile
Infirmary West,Mobile,Mobile
Jack Hughston Memorial Hospital,Russell,Phenix City
Jackson Hospital and Clinic,Montgomery,Montgomery
Jackson Medical Center,Clarke,Jackson
Jacksonville Medical Center,Calhoun,Jacksonville
John Paul Jones Hospital,Wilcox,Camden
L.V. Stabler Memorial Hospital,Butler,Greenville
Lakeland Community Hospital,Winston,Haleyville
Lake Martin Community Hospital,Tallapoosa,Dadeville
Lanier Health Services,Chambers,Valley
Laurel Oaks Behavioral Health Center,Houston,Dothan
Lawrence Medical Center,Lawrence,Moulton
"Long Term Hospital of Anniston, LLC",Calhoun,Anniston
"Long Term Hospital of Birmingham, LLC",Jefferson,Birmingham
"Long Term Hospital of Dothan, LLC",Houston,Dothan
"Long Term Hospital of Montgomery, LLC",Montgomery,Montgomery
"Long Term Hospital of Tuscaloosa, LLC",Tuscaloosa,Tuscaloosa
Madison Hospital,Madison,Madison
Marshall Medical Center North,Marshall,Guntersville
Marshall Medical Center South,Marshall,Boaz
Mary Starke Harper Geriatric Psychiatry Center,Tuscaloosa,Tuscaloosa
Medical Center Barbour,Barbour,Eufaula
Medical Center Enterprise,Coffee,Enterprise
Medical West,Jefferson,Bessemer
Mercy Medical,Baldwin,Daphne
Mizell Memorial Hospital,Covington,Opp
Mobile Infirmary Medical Center,Mobile,Mobile
Monroe County Hospital,Monroe,Monroeville
Mountain View Hospital,Etowah,Gadsden
North Alabama Regional Hospital,Morgan,Decatur
North Baldwin Infirmary,Baldwin,Bay Minette
North Alabama Medical Center - Shoals Hospital,Colbert,Muscle Shoals
Northeast Alabama Regional Medical Center,Calhoun,Anniston
Northport Medical Center,Tuscaloosa,Northport
Northwest Medical Center,Marion,Winfield
North Mississippi Medical Center - Hamilton Campus,Marion,Hamilton
Parkway Medical Center,Morgan,Decatur
Pickens County Medical Center,Pickens,Carrollton
Prattville Baptist Hospital,Autauga,Prattville
Princeton Baptist Medical Center,Jefferson,Birmingham
Providence Hospital,Mobile,Mobile
Randolph Medical Center,Randolph,Roanoke
Red Bay Hospital,Franklin,Red Bay
Regional Rehabilitation Hospital,Russell,Phenix City
Riverview Regional Medical Center,Etowah,Gadsden
Russell Medical Center,Tallapoosa,Alexander City
Russellville Hospital,Franklin,Russellville
Searcy Hospital,Mobile,Mount Vernon
Select Specialty Hospital - Birmingham,Jefferson,Birmingham
Shelby Baptist Medical Center,Shelby,Alabaster
South Baldwin Regional Medical Center,Baldwin,Foley
Southeast Alabama Medical Center,Houston,Dothan
Southwest Alabama Medical Center,Clarke,Thomasville
Springhill Medical Center,Mobile,Mobile
St. Vincent's Blount,Blount,Oneonta
St. Vincent's East,Jefferson,Birmingham
St. Vincent's Hospital,Jefferson,Birmingham
St. Vincent's St. Clair,St. Clair,Pell City
Stringfellow Memorial Hospital,Calhoun,Anniston
Taylor Hardin Secure Medical Facility,Tuscaloosa,Tuscaloosa
Thomas Hospital,Baldwin,Fairhope
Trinity Medical Center,Jefferson,Birmingham
Troy Regional Medical Center,Pike,Troy
"University of Alabama Hospital, Birmingham",Jefferson,Birmingham
UAB Callahan Eye Hospital,Jefferson,Birmingham
UAB Highlands,Jefferson,Birmingham
University of South Alabama Children's and Women's Hospital,Mobile,Mobile
University of South Alabama Medical Center,Mobile,Mobile
Vaughan Regional Medical Center,Dallas,Selma
Veterans Affairs Medical Center-Birmingham,Jefferson,Birmingham
Veterans Affairs Medical Center-Tuscaloosa,Tuscaloosa,Tuscaloosa
Walker Baptist Medical Center,Walker,Jasper
Washington County Hospital,Washington,Chatom
W. D. Partlow Developmental Center,Tuscaloosa,Tuscaloosa
Wedowee Hospital,Randolph,Wedowee
Wiregrass Medical Center,Geneva,Geneva
Woodland Medical Center,Cullman,Cullman
Abrantes,Abrantes,Santarm
,,
Agualva-Cac,Sintra,Lisboa
,,
�gueda,�gueda,Aveiro
,,
Albufeira,Albufeira,Faro
,,
Alc�cer do Sal,Alc�cer do Sal,Set�bal
,,
Alcoba�a,Alcoba�a,Leiria
,,
Almada,Almada,Set�bal
,,
Almeirim,Almeirim,Santar�m
,,
Alverca do Ribatejo,Vila Franca de Xira,Lisboa
,,
Amadora,Amadora,Lisboa
,,
Amarante,Amarante,Porto
,,
Amora,Seixal,Set�bal
,,
Anadia,Anadia,Aveiro
,,
Angra do Hero�smo,Angra do Hero�smo,A�ores
,,
Aveiro,Aveiro,Aveiro
,,
Barcelos,Barcelos,Braga
,,
Barreiro,Barreiro,Set�bal
,,
Beja,Beja,Beja
,,
Borba,Borba,�vora
,,
Braga,Braga,Braga
Bragan�a,Bragan�a,Bragan�a
,,
Caldas da Rainha,Caldas da Rainha,Leiria
,,
C�mara de Lobos,C�mara de Lobos,Madeira
,,
Cani�o,Santa Cruz,Madeira
,,
Cantanhede,Cantanhede,Coimbra
,,
Cartaxo,Cartaxo,Santar�m
,,
Castelo Branco,Castelo Branco,Castelo Branco
,,
Chaves,Chaves,Vila Real
,,
Coimbra,Coimbra,Coimbra
Costa da Caparica,Almada,Set�bal
,,
Covilh�,Covilh�,Castelo Branco
,,
Elvas,Elvas,Portalegre
,,
Entroncamento,Entroncamento,Santar�m
,,
Ermesinde,Valongo,Porto
,,
Esmoriz,Ovar,Aveiro
,,
Espinho,Espinho,Aveiro
,,
Esposende,Esposende,Braga
,,
Estarreja,Estarreja,Aveiro
,,
Estremoz,Estremoz,�vora
,,
�vora,�vora,�vora
Fafe,Fafe,Braga
,,
Faro,Faro,Faro
,,
F�tima,Our�m,Santar�m
,,
Felgueiras,Felgueiras,Porto
,,
Figueira da Foz,Figueira da Foz,Coimbra
,,
Fi�es,Santa Maria da Feira,Aveiro
,,
Freamunde,Pa�os de Ferreira,Porto
,,
Funchal,Funchal,Madeira
,,
Fund�o,Fund�o,Castelo Branco
,,
Gafanha da Nazar�,�lhavo,Aveiro
,,
Gandra,Paredes,Porto
,,
Gondomar,Gondomar,Porto
,,
Gouveia,Gouveia,Guarda
,,
Guarda,Guarda,Guarda
,,
Guimar�es,Guimar�es,Braga
,,
Horta,Horta,A�ores
,,
�lhavo,�lhavo,Aveiro
,,
Lagoa,Lagoa,Faro
,,
Lagos,Lagos,Faro
,,
Lamego,Lamego,Viseu
Leiria,Leiria,Leiria
,,
Lisboa,Lisboa,Lisboa
Lixa,Felgueiras,Porto
,,
,,
Loures,Loures,Lisboa
,,
Lourosa,Santa Maria da Feira,Aveiro
,,
,,
Machico,Machico,Madeira
,,
Maia,Maia,Porto
,,
Mangualde,Mangualde,VIseu
,,
Marco de Canaveses,Marco de Canaveses,Porto
,,
Marinha Grande,Marinha Grande,Leiria
,,
Matosinhos,Matosinhos,Porto
,,
Mealhada,Mealhada,Aveiro
,,
,,
Queluz,Sintra,Lisboa
,,
Rebordosa,Paredes,Porto
,,
,,
Rio Tinto,Gondomar,Porto
,,
Sabugal,Sabugal,Guarda
,,
,,
,,
,,
Santa Cruz,Santa Cruz,Madeira
,,
Santa Maria da Feira,Santa Maria da Feira,Aveiro
,,
Santana,Santana,Madeira
,,
,,
Tarouca,Tarouca,Viseu
,,
Tavira,Tavira,Faro
,,
Tondela,Tondela,Viseu
,,
,,
Torres Vedras,Torres Vedras,Lisboa
,,
Trancoso,Trancoso,Guarda
,,
Trofa,Trofa,Porto
,,
Valbom,Gondomar,Porto
,,
Vale de Cambra,Vale de Cambra,Aveiro
,,
,,
Valongo,Valongo,Porto
,,
,,
,,
Viana do Castelo,Viana do Castelo,Viana do Castelo
,,
Vila Baleira,Porto Santo,Madeira
,,
Vila do Conde,Vila do Conde,Porto
,,
Vila Franca de Xira,Vila Franca de Xira,Lisboa
,,
,,
Viseu,Viseu,Viseu
Vizela,Vizela,Braga
Alta View Hospital,Sandy,Intermountain Healthcare
American Fork Hospital,American Fork,Intermountain Healthcare
Ashley Valley Medical Center,Vernal,Independent
Bear River Valley Hospital,Tremonton,Intermountain Healthcare
Beaver Valley Hospital,Beaver,Independent
Brigham City Community Hospital,Brigham City,Independent
Cache Valley Specialty Hospital,Logan,Independent
Castleview Hospital,Price,Independent
Central Valley Medical Center,Nephi,Independent
Cottonwood Hospital,Murray,No longer in service
Davis Hospital,Layton,IASIS Healthcare
Delta Community Medical Center,Delta,Intermountain Healthcare
Dixie Regional Medical Center,St. George,Intermountain Healthcare
Fillmore Community Medical Center,Fillmore,Intermountain Healthcare
Garfield Memorial Hospital,Panguitch,Intermountain Healthcare
Heber Valley Medical Center,Heber,Intermountain Healthcare
Huntsman Cancer Hospital,Salt Lake City,University of Utah
Gunnison Valley Hospital,Gunnison,Independent
Shriners Hospitals for Children--Salt Lake City,Salt Lake City,Shriners Hospitals for Children
Intermountain Medical Center,Murray,Intermountain Healthcare
Jordan Valley Medical Center,West Jordan,IASIS Healthcare
Kane County Hospital,Kanab,Independent
Lakeview Hospital,Bountiful,MountainStar Healthcare
LDS Hospital,Salt Lake City,Intermountain Healthcare
Logan Regional Hospital,Logan,Intermountain Healthcare
McKay-Dee Hospital Center,Ogden,Intermountain Healthcare
Moab Regional Hospital,Moab,Independent
"Mountain View Hospital (Payson, Utah)",Payson,MountainStar Healthcare
Mountain West Medical Center,Tooele,Independent
Ogden Regional Medical Center,Ogden,MountainStar Healthcare
Orem Community Hospital,Orem,Intermountain Healthcare
Park City Medial Center,Park City,Intermountain Healthcare
Pioneer Valley Hospital,West Valley City,IASIS Healthcare
Primary Children's Medical Center,Salt Lake City,Intermountain Healthcare
St. Mark's Hospital,Millcreek Township,MountainStar Healthcare
Salt Lake Regional Medical Center,Salt Lake City,IASIS Healthcare
San Juan Hospital,Monticello,Independent
Sanpete Valley Hospital,Mt. Pleasant,Intermountain Healthcare
Sevier Valley Medical Center,Richfield,Intermountain Healthcare
The Orthopedic Specialty Hospital (TOSH),Murray,Intermountain Healthcare
Tooele Valley Hospital,Tooele,No longer in service
Timpanogas Regional Hospital,Orem,MountainStar Healthcare
Uintah Basin Medical Center,Roosevelt,Independent
University of Utah Health Sciences Center (UUHSC),Salt Lake City,University of Utah
University of Utah Medical Center,Salt Lake City,University of Utah
Utah State Hospital,Provo,Utah Department of Human Services
Utah Valley Regional Medical Center,Provo,Intermountain Healthcare
Valley View Medical Center,Cedar City,Intermountain Healthcare
VA Hospital,Salt Lake City,U.S. Department of Veteran Affairs
HealthSouth Lakeshore Rehabilitation Hospital,Jefferson,Birmingham
HealthSouth Rehabilitation Hospital of Dothan,Houston,Dothan
HealthSouth Rehabilitation Hospital of Gadsden,Etowah,Gadsden
HealthSouth Rehabilitation Hospital of Montgomery,Montgomery,Montgomery
HealthSouth Rehabilitation Hospital of North Alabama,Madison,Huntsville
Helen Keller Hospital,Colbert,Sheffield
Highlands Medical Center,Jackson,Scottsboro
Hill Crest Behavioral Health Services,Jefferson,Birmingham
Hill Hospital of Sumter County,Sumter,York
Huntsville Hospital System,Madison,Huntsville
Infirmary LTAC Hospital,Mobile,Mobile
Infirmary West,Mobile,Mobile
Jack Hughston Memorial Hospital,Russell,Phenix City
Jackson Hospital and Clinic,Montgomery,Montgomery
Jackson Medical Center,Clarke,Jackson
Jacksonville Medical Center,Calhoun,Jacksonville
John Paul Jones Hospital,Wilcox,Camden
L.V. Stabler Memorial Hospital,Butler,Greenville
Lakeland Community Hospital,Winston,Haleyville
Lake Martin Community Hospital,Tallapoosa,Dadeville
Lanier Health Services,Chambers,Valley
Laurel Oaks Behavioral Health Center,Houston,Dothan
Lawrence Medical Center,Lawrence,Moulton
"Long Term Hospital of Anniston, LLC",Calhoun,Anniston
"Long Term Hospital of Birmingham, LLC",Jefferson,Birmingham
"Long Term Hospital of Dothan, LLC",Houston,Dothan
"Long Term Hospital of Montgomery, LLC",Montgomery,Montgomery
"Long Term Hospital of Tuscaloosa, LLC",Tuscaloosa,Tuscaloosa
Madison Hospital,Madison,Madison
Marshall Medical Center North,Marshall,Guntersville
Marshall Medical Center South,Marshall,Boaz
Mary Starke Harper Geriatric Psychiatry Center,Tuscaloosa,Tuscaloosa
Medical Center Barbour,Barbour,Eufaula
Medical Center Enterprise,Coffee,Enterprise
Medical West,Jefferson,Bessemer
Mercy Medical,Baldwin,Daphne
Mizell Memorial Hospital,Covington,Opp
Mobile Infirmary Medical Center,Mobile,Mobile
Monroe County Hospital,Monroe,Monroeville
Mountain View Hospital,Etowah,Gadsden
North Alabama Regional Hospital,Morgan,Decatur
North Baldwin Infirmary,Baldwin,Bay Minette
North Alabama Medical Center - Shoals Hospital,Colbert,Muscle Shoals
Northeast Alabama Regional Medical Center,Calhoun,Anniston
Northport Medical Center,Tuscaloosa,Northport
Northwest Medical Center,Marion,Winfield
North Mississippi Medical Center - Hamilton Campus,Marion,Hamilton
Parkway Medical Center,Morgan,Decatur
Pickens County Medical Center,Pickens,Carrollton
Prattville Baptist Hospital,Autauga,Prattville
Princeton Baptist Medical Center,Jefferson,Birmingham
Providence Hospital,Mobile,Mobile
Randolph Medical Center,Randolph,Roanoke
Red Bay Hospital,Franklin,Red Bay
Regional Rehabilitation Hospital,Russell,Phenix City
Riverview Regional Medical Center,Etowah,Gadsden
Russell Medical Center,Tallapoosa,Alexander City
Russellville Hospital,Franklin,Russellville
Searcy Hospital,Mobile,Mount Vernon
Select Specialty Hospital - Birmingham,Jefferson,Birmingham
Shelby Baptist Medical Center,Shelby,Alabaster
South Baldwin Regional Medical Center,Baldwin,Foley
Southeast Alabama Medical Center,Houston,Dothan
Southwest Alabama Medical Center,Clarke,Thomasville
Springhill Medical Center,Mobile,Mobile
St. Vincent's Blount,Blount,Oneonta
St. Vincent's East,Jefferson,Birmingham
St. Vincent's Hospital,Jefferson,Birmingham
St. Vincent's St. Clair,St. Clair,Pell City
Stringfellow Memorial Hospital,Calhoun,Anniston
Taylor Hardin Secure Medical Facility,Tuscaloosa,Tuscaloosa
Thomas Hospital,Baldwin,Fairhope
Trinity Medical Center,Jefferson,Birmingham
Troy Regional Medical Center,Pike,Troy
"University of Alabama Hospital, Birmingham",Jefferson,Birmingham
UAB Callahan Eye Hospital,Jefferson,Birmingham
UAB Highlands,Jefferson,Birmingham
University of South Alabama Children's and Women's Hospital,Mobile,Mobile
University of South Alabama Medical Center,Mobile,Mobile
Vaughan Regional Medical Center,Dallas,Selma
Veterans Affairs Medical Center-Birmingham,Jefferson,Birmingham
Veterans Affairs Medical Center-Tuscaloosa,Tuscaloosa,Tuscaloosa
Walker Baptist Medical Center,Walker,Jasper
Washington County Hospital,Washington,Chatom
W. D. Partlow Developmental Center,Tuscaloosa,Tuscaloosa
Wedowee Hospital,Randolph,Wedowee
Wiregrass Medical Center,Geneva,Geneva
Woodland Medical Center,Cullman,Cullman
